"OBJECTID","DATATYPE","GENUSSPECI","DBH_IN","LU","CROWN_COMPACTNESS","HEIGHT_MAX","HEIGHT_MEAN","CROWN_AREA","HU_DENS","RELBORDER_TREE","NDVI_MAX","NDVI_MEAN","NDVI_STD","BLDG_AGE","IS_CLEANED_CROWN_AREA","IS_CLEANED_CROWN_COMPACTNESS","IS_CLEANED_DBH_IN","IS_CLEANED_HEIGHT_MAX","IS_CLEANED_HEIGHT_MEAN","IS_CLEANED_NDVI_MEAN","IS_CLEANED_NDVI_MAX"
238238,"Point","Ulmus hybrid",2,6,1.5,8.27056884765625,3.88545227050781,24.9999000003,6.20887,0.2,0.36977490783,0.34451510012,0.02593761608,40,0,0,0,0,0,0,0
235710,"Point","Magnolia acuminata",8,6,2.03455379568263,25.2568969726562,10.7368418741569,868.74652501,13.1186,0,0.54545456171,0.17417513579,0.10646824403,44,0,0,0,0,0,0,0
235838,"Point","Malus spp.",7,6,2.03346201627777,7.05126953125,2.06437377929687,62.4997500007499,13.1186,0,0.48181816936,0.39581378443,0.03629976775,44,0,0,0,0,0,0,0
235867,"Point","Malus spp.",7,6,1.40939597315436,29.39501953125,14.221959875734,931.246275011,13.1186,0,0.81481480598,0.41051914091,0.09820128164,44,0,0,0,0,0,0,0
235874,"Point","Malus spp.",8,6,1.43589743589743,13.171875,5.83837890625,243.749025003,13.1186,0.133333333333333,0.40322580934,0.161486452,0.09043590661,44,0,0,0,0,0,0,0
235877,"Point","Malus spp.",7,6,1.125,23.650634765625,12.5204010009765,499.998000006,13.1186,0,0.344709903,0.27823861738,0.03718047384,44,0,0,0,0,0,0,0
237534,"Point","Tilia americana",7,6,1.50188895253442,29.6906127929687,14.1318890837585,918.746325011,13.1186,0,0.50427353382,0.3837846562,0.0484417667,44,0,0,0,0,0,0,0
237895,"Point","Tilia cordata",7,6,1.42222222222222,30.2918701171875,14.1476643880208,843.74662501,13.1186,0,0.40540540218,0.3384255177,0.0327560749,44,0,0,0,0,0,0,0
235645,"Point","Juglans nigra",13,9,1.67763157894736,34.6981201171875,10.2327250430458,949.996200011,3.88254,0.5,0.56944441795,0.42292086035,0.09128333555,34,0,0,0,0,0,0,0
235720,"Point","Malus spp.",16,9,1.12280701754385,13.1893310546875,7.43903123286732,356.248575004,3.88254,0,0.58108109236,0.4779103132,0.06771441094,34,0,0,0,0,0,0,0
235721,"Point","Malus spp.",15,9,1.71804189430986,13.0431518554687,6.2592126317771,518.747925006,3.88254,0,0.57894736528,0.49635045538,0.04038013844,34,0,0,0,0,0,0,0
235722,"Point","Malus spp.",15,9,1.71804189430986,13.0431518554687,6.2592126317771,518.747925006,3.88254,0,0.57894736528,0.49635045538,0.04038013844,34,0,0,0,0,0,0,0
235727,"Point","Malus spp.",12,9,1.25,11.6356201171875,6.35140228271484,299.998800004,3.88254,0.25,0.54098361731,0.42509616837,0.04198254806,34,0,0,0,0,0,0,0
235729,"Point","Malus spp.",15,9,1.65079365079365,13.0018920898437,6.94344850570436,393.748425005,3.88254,0,0.52884614468,0.41753005028,0.05401283168,34,0,0,0,0,0,0,0
235730,"Point","Malus spp.",12,9,1.65079365079365,13.0018920898437,6.94344850570436,393.748425005,3.88254,0,0.52884614468,0.41753005028,0.05401283168,34,0,0,0,0,0,0,0
235731,"Point","Malus spp.",18,9,1.51927731635093,14.6262817382812,7.69503525556144,368.748525004,3.88254,0.142857142857142,0.63779526949,0.52282482237,0.0502594207,34,0,0,0,0,0,0,0
235732,"Point","Malus spp.",18,9,1.42857142857142,12.6793823242187,6.3051518031529,349.998600004,3.88254,0.289473684210526,0.56476682425,0.45913651649,0.05001955091,34,0,0,0,0,0,0,0
235737,"Point","Malus spp.",17,9,1.56626506024096,14.9737548828125,8.66066365069653,518.747925006,3.88254,0.208333333333333,0.60869562626,0.49728273153,0.04978015745,34,0,0,0,0,0,0,0
235738,"Point","Malus spp.",16,9,1.64179104477611,14.7906494140625,9.78965645405783,418.748325005,3.88254,0.413043478260869,0.58333331347,0.47748996113,0.05320202703,34,0,0,0,0,0,0,0
235739,"Point","Malus spp.",14,9,1.44444444444444,15.2587280273437,10.8951018802703,393.748425005,3.88254,0.214285714285714,0.55029582977,0.45089676529,0.06997940346,34,0,0,0,0,0,0,0
